Name,Aa-T,Aa-A,Aa-EN,Aa-RI,Aa-VE,Aa-CR,Aa-MO,Aa-MMt,Ab-T,Ab-A,Ab-EN,Ab-RI,Ab-VE,Ab-CR,Ab-MO,Ab-MMt,Ba-T,Ba-A,Ba-EN,Ba-RI,Ba-VE,Ba-CR,Ba-MO,Ba-MMt,Bb-T,Bb-A,Bb-EN,Bb-RI,Bb-VE,Bb-CR,Bb-MO,Bb-MMt,O-2p,M-oct,M-tetra,Hybri(O-Moct),Hybri(O-Mtet),weak-hybri
MnMn2O4,Mn,1,1.55,81,7,2.3,-0.666,1.014,0,0,0,0,0,0,0,0,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-2.604,-0.716,-0.194,1.888,2.41,2.41
[Li0.25Mn0.75]Mn2O4,Li,0.25,0.98,90,1,2.05,0.217,6.647,Mn,0.75,1.55,81,7,2.3,-0.666,1.014,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-2.638,-0.26,0.081,2.378,2.719,2.719
[Li0.5Mn0.5]Mn2O4,Li,0.5,0.98,90,1,2.05,0.217,6.647,Mn,0.5,1.55,81,7,2.3,-0.666,1.014,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-2.344,0.09,-0.335,2.434,2.009,2.434
[Li0.75Mn0.25]Mn2O4,Li,0.75,0.98,90,1,2.05,0.217,6.647,Mn,0.25,1.55,81,7,2.3,-0.666,1.014,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-2.393,-0.523,-0.661,1.87,1.732,1.87
[Na0.25Mn0.75]Mn2O4,Na,0.25,0.93,116,1,2.2,0.145,6.925,Mn,0.75,1.55,81,7,2.3,-0.666,1.014,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-1.394,-0.287,0.7,1.107,2.094,2.094
[Na0.5Mn0.5]Mn2O4,Na,0.5,0.93,116,1,2.2,0.145,6.925,Mn,0.5,1.55,81,7,2.3,-0.666,1.014,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-1.229,-0.318,0.878,0.911,2.107,2.107
[Na0.75Mn0.25]Mn2O4,Na,0.75,0.93,116,1,2.2,0.145,6.925,Mn,0.25,1.55,81,7,2.3,-0.666,1.014,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-1.28,-0.603,1.031,0.677,2.311,2.311
[Mg0.25Mn0.75]Mn2O4,Mg,0.25,1.31,86,2,2,2.939,10.736,Mn,0.75,1.55,81,7,2.3,-0.666,1.014,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-2.701,-0.467,0.172,2.234,2.873,2.873
[Mg0.5Mn0.5]Mn2O4,Mg,0.5,1.31,86,2,2,2.939,10.736,Mn,0.5,1.55,81,7,2.3,-0.666,1.014,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-2.506,-0.447,0.765,2.059,3.271,3.271
[Mg0.75Mn0.25]Mn2O4,Mg,0.75,1.31,86,2,2,2.939,10.736,Mn,0.25,1.55,81,7,2.3,-0.666,1.014,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-2.171,-0.245,0.195,1.926,2.366,2.366
[Al0.25Mn0.75]Mn2O4,Al,0.25,1.61,67.5,3,1.9,-3.361,6.146,Mn,0.75,1.55,81,7,2.3,-0.666,1.014,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-3.439,-1.009,-0.64,2.43,2.799,2.799
